french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;myristic;cleansing;condition;vitesse_tracage
Beurre de Karité ;Butyrospermum Parkii;Shea Butter;BUTYROSPERMUM PARKII BUTTER;190;45;116;0;5;40;0;48;6;0;0.128;0.179;0;45;59;0;0;54;
Huile de Karité fractionnée;Butyrospermum Parkii;Shea Oil, fractionated;BUTYROSPERMUM PARKII OIL;;16;102;0;6;10;0;73;11;0;0.132;0.185;0;16;83;0;0;84;
Savon rapide conventionnel;;SoapQuick, conventional;;;39;153;13;17;3;5;42;8;1;0.151;0.212;24;25;59;6;19;56;
Savon rapide organique;;SoapQuick, organic ;;;41;156;13;20;3;0;45;10;0;0.152;0.213;18;23;56;5;18;55;
Huile de Soja totalement hydrogénée ;Glycine Soja;Soybean fully hydrogenated;HYDROGENATED SOY POLYGLYCERIDES;;98;191;0;11;87;0;0;0;0;0.137;0.192;0;98;1;0;0;0;
Huile de Soja;Glycine Soja;Soybean Oil;GLYCINE SOJA OIL;189;16;61;0;11;5;0;24;50;8;0.136;0.191;0;16;131;0;0;82;
Huile de Soja hydrogénée à 27.5 %;Glycine Soja;Soybean, 27.5% hydrogenated;HYDROGENATED SOY POLYGLYCERIDES;;24;113;0;9;15;0;41;7;1;0.136;0.191;0;24;78;0;0;49;
Acide Stéarique ;Stearic Acid ;Stearic Acid;STEARIC ACID;206;99;196;0;0;99;0;0;0;0;0.141;0.198;0;99;2;0;0;0;
Huile de Tournesol ;Helianthus Annuus;sunflower Oil;HELIANTHUS ANNUUS SEED OIL;188;11;63;0;7;4;0;16;70;1;0.135;0.189;0;11;133;0;0;87;
Huile de Tournesol haute teneur en Acide Oléique;Helianthus Annuus;Sunflower Oil high oleic;HELIANTHUS ANNUUS SEED OIL;;7;106;0;3;4;0;83;4;1;0.135;0.189;0;7;83;0;0;88;
Suif d'Ours;Adeps Ursinus ;Tallow Bear;BEAR OIL;195;12;100;0;7;3;0;70;9;0;0.139;0.195;2;10;92;2;2;79;
Suif de Bœuf ;Adeps Bovis;Tallow Beef;ADEPS BOVIS;195;58;147;2;28;22;0;36;3;1;0.143;0.2;8;50;45;6;8;40;
Suif de Cerf ;Adeps Cervinum;Tallow Deer;DEER FAT;193;45;166;0;20;24;0;30;15;3;0.138;0.193;1;44;31;1;1;48;
Suif de Chèvre;Adeps Caprinus;Tallow Goat;GOAT FAT;194;69;152;5;23;30;0;29;2;0;0.137;0.192;16;53;40;11;16;31;
Suif de Mouton;Adeps Ovillus;Tallow Sheep;TALLOW;194;51;156;4;24;13;0;26;5;0;0.138;0.194;14;37;54;10;14;31;
Huile de Calophylle inophylle - Tamanu ;Calophyllum Tacamahaca;Tamanu Oil, Kamani;CALOPHYLLUM INOPHYLLUM SEED OIL;190;25;82;0;12;13;0;34;38;1;0.148;0.208;0;25;111;0;0;73;
Beurre de graines de Tucuma;Astrocaryum Tucuma;Tucuma Seed Butter;ASTROCARYUM TUCUMA SEED BUTTER;237.5;77;175;48;6;0;0;13;0;0;0.17;0.238;71;6;13;23;71;13;
Beurre d'Ucuuba ;;Ucuuba Butter ;;;31;167;0;0;31;0;44;5;0;0.146;0.205;0;31;38;0;0;49;
Suif de Palme;;Walmart GV Shortening, Tallow Palm;;;54;151;1;4;14;0;37;6;1;0.141;0.198;5;49;49;4;5;44;
Huile de Noix;Juglans Regia;Walnut Oil;JUGLANS REGIA SEED OIL;190;9;45;0;7;2;0;18;60;0;0.135;0.189;0;9;145;0;0;78;
Huile de graines de Pastèque ;Citrullus Lanatus;Watermelon Seed Oil;CITRULLUS LANATUS SEED OIL;;21;71;0;11;10;0;18;60;1;0.135;0.19;0;21;119;0;0;79;
Huile de Germe de blé;Triticum Vulgare;Wheat Germ oil;TRITICUM VULGARE GERM OIL;185;19;58;0;17;2;0;17;58;0;0.13;0.183;0;19;128;0;0;75;
Huile de Yangu, Chataîgner du Cap ;Calodendrum capense;Yangu Cap Chestnut;CALODENDRUM CAPENSE NUT OIL;189;23;97;0;18;5;0;45;30;1;0.137;0.192;0;23;95;0;0;76;
Huile de graines de Zapote;;Zapote Seed Oil (Aceite de Sapuyul or Mamey);;;30;116;0;9;21;0;52;13;0;0.134;0.188;0;30;72;0;0;65;
